Game ,20800000, mean_rew of 4963 finished g. ,-2.2869, corr_moves[max:10] ,9.963, mean_rew ,-2.64,   1:57:21.699599,playing t=20.01, lr=[3.0056817009090947e-05]
Game ,20960000, mean_rew of 4950 finished g. ,-2.2568, corr_moves[max:10] ,9.955, mean_rew ,-2.73,   1:58:15.185799,playing t=20.07, lr=[3.3396463343434384e-05]
Game ,21120000, mean_rew of 4967 finished g. ,-2.3042, corr_moves[max:10] ,9.966, mean_rew ,-2.62,   1:59:08.885692,playing t=20.03, lr=[3.3396463343434384e-05]
Game ,21280000, mean_rew of 4966 finished g. ,-2.3133, corr_moves[max:10] ,9.965, mean_rew ,-2.64,   2:00:02.357699,playing t=20.13, lr=[3.0056817009090947e-05]
Game ,21440000, mean_rew of 4962 finished g. ,-2.3208, corr_moves[max:10] ,9.957, mean_rew ,-2.68,   2:00:55.663464,playing t=20.08, lr=[3.0056817009090947e-05]
Game ,21600000, mean_rew of 4956 finished g. ,-2.272, corr_moves[max:10] ,9.957, mean_rew ,-2.69,   2:01:49.053540,playing t=20.03, lr=[2.434602177736367e-05]
Game ,21760000, mean_rew of 4970 finished g. ,-2.3423, corr_moves[max:10] ,9.971, mean_rew ,-2.63,   2:02:42.341709,playing t=20.06, lr=[2.7051135308181854e-05]
Game ,21920000, mean_rew of 4966 finished g. ,-2.3258, corr_moves[max:10] ,9.97, mean_rew ,-2.65,   2:03:35.804528,playing t=20.12, lr=[2.7051135308181854e-05]
Game ,22080000, mean_rew of 4960 finished g. ,-2.3024, corr_moves[max:10] ,9.958, mean_rew ,-2.68,   2:04:29.361225,playing t=19.95, lr=[2.434602177736367e-05]
Game ,22240000, mean_rew of 4968 finished g. ,-2.3424, corr_moves[max:10] ,9.972, mean_rew ,-2.65,   2:05:22.807836,playing t=20.01, lr=[2.434602177736367e-05]
Game ,22400000, mean_rew of 4968 finished g. ,-2.342, corr_moves[max:10] ,9.97, mean_rew ,-2.65,   2:06:16.196862,playing t=20.02, lr=[1.9720277639664573e-05]
Game ,22560000, mean_rew of 4974 finished g. ,-2.3203, corr_moves[max:10] ,9.975, mean_rew ,-2.57,   2:07:09.723324,playing t=20.1, lr=[2.1911419599627302e-05]
Game ,22720000, mean_rew of 4959 finished g. ,-2.293, corr_moves[max:10] ,9.96, mean_rew ,-2.68,   2:08:03.362428,playing t=20.08, lr=[2.1911419599627302e-05]
Game ,22880000, mean_rew of 4963 finished g. ,-2.3129, corr_moves[max:10] ,9.963, mean_rew ,-2.67,   2:08:56.367782,playing t=19.97, lr=[1.9720277639664573e-05]
Game ,23040000, mean_rew of 4962 finished g. ,-2.2946, corr_moves[max:10] ,9.965, mean_rew ,-2.66,   2:09:49.738952,playing t=19.98, lr=[1.9720277639664573e-05]
Game ,23200000, mean_rew of 4972 finished g. ,-2.2645, corr_moves[max:10] ,9.968, mean_rew ,-2.53,   2:10:43.345261,playing t=19.93, lr=[1.5973424888128303e-05]
Game ,23360000, mean_rew of 4972 finished g. ,-2.3264, corr_moves[max:10] ,9.975, mean_rew ,-2.59,   2:11:36.682118,playing t=20.16, lr=[1.7748249875698116e-05]
Game ,23520000, mean_rew of 4970 finished g. ,-2.3016, corr_moves[max:10] ,9.97, mean_rew ,-2.59,   2:12:30.108829,playing t=20.05, lr=[1.7748249875698116e-05]
Game ,23680000, mean_rew of 4960 finished g. ,-2.2768, corr_moves[max:10] ,9.966, mean_rew ,-2.66,   2:13:23.888333,playing t=19.91, lr=[1.5973424888128303e-05]
Game ,23840000, mean_rew of 4961 finished g. ,-2.2741, corr_moves[max:10] ,9.956, mean_rew ,-2.65,   2:14:17.533352,playing t=20.11, lr=[1.5973424888128303e-05]
Game ,24000000, mean_rew of 4962 finished g. ,-2.3474, corr_moves[max:10] ,9.961, mean_rew ,-2.71,   2:15:11.163176,playing t=20.09, lr=[1.2938474159383927e-05]
Game ,24160000, mean_rew of 4961 finished g. ,-2.2993, corr_moves[max:10] ,9.96, mean_rew ,-2.67,   2:16:04.296669,playing t=20.01, lr=[1.4376082399315474e-05]
Game ,24320000, mean_rew of 4962 finished g. ,-2.2896, corr_moves[max:10] ,9.965, mean_rew ,-2.65,   2:16:58.820118,playing t=20.12, lr=[1.4376082399315474e-05]
Game ,24480000, mean_rew of 4972 finished g. ,-2.3288, corr_moves[max:10] ,9.975, mean_rew ,-2.6,   2:17:52.142690,playing t=20.06, lr=[1.2938474159383927e-05]
